ticker,WN1 Comdty,FV1 Comdty,TU1 Comdty,US1 Comdty
15/08/2012,27.2288,5.0544,1.8871,15.9735
16/08/2012,26.9838,5.0501,1.887,15.9009
17/08/2012,27.0768,5.0533,1.887,15.9393
20/08/2012,27.1539,5.0558,1.8871,15.9564
21/08/2012,27.219,5.0562,1.8868,15.9948
22/08/2012,27.7138,5.0739,1.8878,16.1741
23/08/2012,27.9921,5.0793,1.8883,16.298
24/08/2012,27.9649,5.0764,1.8878,16.2809
27/08/2012,28.1971,5.0807,1.8882,16.3493
28/08/2012,28.2791,5.0825,1.8878,16.3964
29/08/2012,28.1425,5.0815,1.8875,16.3622
30/08/2012,28.3406,5.0898,1.8882,16.452
31/08/2012,28.6962,5.1031,1.8894,16.5718
04/09/2012,28.6826,5.0973,1.8889,16.5333
05/09/2012,28.5799,5.0981,1.8887,16.4991
06/09/2012,27.9991,5.0843,1.8875,16.3151
07/09/2012,27.8489,5.0927,1.8882,16.3023
10/09/2012,27.7671,5.0894,1.8883,16.2553
11/09/2012,27.7466,5.0883,1.8885,16.2425
12/09/2012,27.2696,5.0825,1.8887,16.0802
13/09/2012,27.0927,5.0923,1.8892,16.046
14/09/2012,26.3521,5.08,1.8883,15.7603
17/09/2012,26.644,5.0793,1.8883,15.8412
18/09/2012,26.7527,5.0825,1.8883,15.9052
19/09/2012,26.9498,5.084,1.8878,15.9521
20/09/2012,26.6155,5.0829,1.888,16.6975
21/09/2012,26.6223,5.0883,1.888,16.7197
24/09/2012,26.9056,5.0908,1.8877,16.8214
25/09/2012,27.1621,5.0934,1.8878,16.932
26/09/2012,27.6151,5.101,1.8882,17.1445
27/09/2012,27.4393,5.0995,1.8887,17.0914
28/09/2012,27.3919,5.0991,1.8889,17.0737
01/10/2012,27.4663,5.0819,1.8861,17.1135
02/10/2012,27.5678,5.0837,1.8861,17.149
03/10/2012,27.4528,5.0862,1.8864,17.118
04/10/2012,27.1081,5.0812,1.8857,16.994
05/10/2012,26.6358,5.0725,1.885,16.8081
09/10/2012,26.8178,5.0729,1.885,16.8745
10/10/2012,27.0811,5.0733,1.8849,16.9807
11/10/2012,27.2973,5.0729,1.8847,17.0559
12/10/2012,27.3806,5.0736,1.885,17.1002
15/10/2012,27.3581,5.0743,1.8852,17.0825
16/10/2012,26.9393,5.0671,1.8845,16.9054
17/10/2012,26.4875,5.048,1.8833,16.6887
18/10/2012,26.3797,5.0462,1.8833,16.6489
19/10/2012,26.8044,5.0513,1.8831,16.8169
22/10/2012,26.7639,5.0455,1.8828,16.755
23/10/2012,26.9461,5.0502,1.8835,16.8435
24/10/2012,26.8448,5.0534,1.8836,16.8037
25/10/2012,26.5481,5.0408,1.8826,16.6975
26/10/2012,26.9326,5.0538,1.8833,16.8789
29/10/2012,27.1554,5.057,1.8836,16.9807
31/10/2012,27.3649,5.0628,1.8838,17.0648
01/11/2012,27.0878,5.0624,1.8842,16.963
02/11/2012,26.9731,5.0621,1.884,16.9364
05/11/2012,27.25,5.0689,1.8845,17.0559
06/11/2012,26.9731,5.057,1.8838,16.9187
07/11/2012,27.561,5.0769,1.885,17.2066
08/11/2012,27.8792,5.0808,1.8854,17.3307
09/11/2012,28.0214,5.0823,1.8852,17.3928
13/11/2012,28.2113,5.087,1.8857,17.4594
14/11/2012,28.1773,5.0866,1.8857,17.4505
15/11/2012,28.2045,5.087,1.8859,17.455
16/11/2012,28.2248,5.0898,1.8859,17.4772
19/11/2012,27.9808,5.0852,1.8857,17.3662
20/11/2012,27.7031,5.0794,1.885,17.2376
21/11/2012,27.5745,5.0736,1.8845,17.1756
23/11/2012,27.561,5.0722,1.8845,17.1667
26/11/2012,27.764,5.0772,1.8847,17.2465
27/11/2012,27.825,5.0801,1.8849,17.2864
28/11/2012,27.9063,5.0859,1.8852,17.3574
29/11/2012,27.8114,5.0866,1.8852,17.3352
30/11/2012,27.8521,5.0902,1.8856,17.3618
03/12/2012,27.7776,5.087,1.8854,17.313
04/12/2012,27.9401,5.0877,1.8859,17.3707
05/12/2012,27.9605,5.0916,1.8857,17.3884
06/12/2012,28.0418,5.092,1.8857,17.4239
07/12/2012,27.7505,5.0884,1.8859,17.2864
10/12/2012,27.825,5.0895,1.8859,17.313
11/12/2012,27.6287,5.0862,1.8859,17.2155
12/12/2012,27.277,5.0844,1.8857,17.0825
13/12/2012,27.2432,5.0758,1.8857,17.0471
14/12/2012,27.446,5.0765,1.8864,17.1224
17/12/2012,27.0946,5.0689,1.8861,16.9718
18/12/2012,26.6088,5.0603,1.8849,16.7816
19/12/2012,26.8516,5.0646,1.8849,16.8833
20/12/2012,26.3291,5.0646,1.8849,16.4893
21/12/2012,26.7105,5.0686,1.8852,16.6334
24/12/2012,26.6235,5.0646,1.8852,16.5941
26/12/2012,26.6503,5.0664,1.8852,16.6247
27/12/2012,26.9518,5.0758,1.8857,16.747
28/12/2012,26.9518,5.0765,1.8859,16.7513
31/12/2012,26.6771,5.0772,1.8859,16.629
02/01/2013,26.0283,5.0905,1.8897,16.3803
03/01/2013,25.6679,5.0793,1.8891,16.2408
04/01/2013,25.6479,5.0768,1.8888,16.2103
07/01/2013,25.7146,5.0775,1.8888,16.2364
08/01/2013,25.8614,5.0833,1.8895,16.3062
09/01/2013,25.9615,5.0894,1.8902,16.3498
10/01/2013,25.8213,5.0826,1.8898,16.2582
11/01/2013,25.9549,5.0847,1.89,16.3192
14/01/2013,26.0283,5.088,1.8902,16.3454
15/01/2013,26.182,5.093,1.8902,16.4152
16/01/2013,26.1753,5.0941,1.89,16.4326
17/01/2013,25.8948,5.0829,1.8893,16.3062
18/01/2013,26.1085,5.0891,1.8897,16.3977
22/01/2013,26.1753,5.0923,1.89,16.4239
23/01/2013,26.1352,5.092,1.89,16.4152
24/01/2013,26.0751,5.0905,1.89,16.3977
25/01/2013,25.5479,5.0703,1.8883,16.1493
28/01/2013,25.4812,5.0641,1.8879,16.0927
29/01/2013,25.3812,5.0659,1.8888,16.0622
30/01/2013,25.2214,5.0677,1.889,16.01
31/01/2013,25.3812,5.0696,1.8895,16.0666
01/02/2013,25.1615,5.071,1.8895,15.9795
04/02/2013,25.3213,5.0782,1.8897,16.0666
05/02/2013,25.0949,5.0714,1.8893,15.9665
06/02/2013,25.2946,5.0797,1.89,16.0753
07/02/2013,25.3812,5.0822,1.8898,16.1101
08/02/2013,25.3546,5.0818,1.8898,16.097
11/02/2013,25.4479,5.0793,1.8897,16.1232
12/02/2013,25.2414,5.0732,1.8891,16.0361
13/02/2013,25.075,5.0659,1.8888,15.9491
14/02/2013,25.328,5.0757,1.8893,16.0666
15/02/2013,25.2747,5.0735,1.8891,16.0666
19/02/2013,25.1415,5.0703,1.889,16.01
20/02/2013,25.1149,5.0739,1.8893,16.0143
21/02/2013,25.3413,5.0804,1.8897,16.1188
22/02/2013,25.4012,5.0833,1.8898,16.1406
25/02/2013,25.768,5.0945,1.8904,16.3149
26/02/2013,25.8681,5.097,1.8907,16.3672
27/02/2013,25.7012,5.0967,1.8904,16.3018
28/02/2013,25.7546,5.0992,1.8905,16.3192
01/03/2013,25.9215,5.1028,1.8907,16.3977
04/03/2013,25.7813,5.0999,1.8907,16.341
05/03/2013,25.6879,5.0967,1.8905,16.3018
06/03/2013,25.4279,5.0909,1.8902,16.1885
07/03/2013,25.1615,5.0804,1.8898,16.0666
08/03/2013,24.8688,5.0724,1.8898,15.9317
11/03/2013,24.8755,5.0728,1.8897,15.923
12/03/2013,25.0683,5.0775,1.8897,16.01
13/03/2013,25.0683,5.0764,1.8895,16.01
14/03/2013,24.9153,5.0761,1.8891,15.9752
15/03/2013,25.0417,5.0851,1.8898,16.0535
18/03/2013,25.2747,5.0901,1.8898,16.1711
19/03/2013,25.5679,5.0959,1.8904,16.3105
20/03/2013,25.8411,5.0945,1.89,15.8351
21/03/2013,25.951,5.0927,1.8897,15.8609
22/03/2013,26.0678,5.0945,1.8898,15.9038
25/03/2013,26.0265,5.0952,1.89,15.8866
26/03/2013,26.0884,5.0985,1.89,15.9124
27/03/2013,26.3153,5.1071,1.89,16.0327
28/03/2013,26.1846,5.1024,1.8904,16.0198
01/04/2013,26.3634,5.0903,1.8912,16.0756
02/04/2013,26.2671,5.0877,1.8912,16.0155
03/04/2013,26.5492,5.0975,1.8919,16.1315
04/04/2013,26.9834,5.1047,1.8919,16.2778
05/04/2013,27.7155,5.1072,1.8919,16.506
08/04/2013,27.4666,5.1033,1.8919,16.4112
09/04/2013,27.3077,5.1036,1.8917,16.3682
10/04/2013,26.8593,5.0957,1.8917,16.2218
11/04/2013,26.9213,5.0975,1.8917,16.2606
12/04/2013,27.4113,5.1054,1.8919,16.4414
15/04/2013,27.6325,5.1058,1.892,16.4974
16/04/2013,27.5081,5.104,1.892,16.4543
17/04/2013,27.6117,5.1036,1.892,16.5017
18/04/2013,27.7639,5.1033,1.892,16.5663
19/04/2013,27.6601,5.1015,1.8919,16.5232
22/04/2013,27.6809,5.1044,1.8922,16.5275
23/04/2013,27.6394,5.1033,1.8922,16.5189
24/04/2013,27.6601,5.1058,1.892,16.5318
25/04/2013,27.5426,5.1051,1.8924,16.4974
26/04/2013,27.8607,5.1116,1.8929,16.6266
29/04/2013,27.757,5.113,1.8931,16.5878
30/04/2013,27.674,5.1127,1.8931,16.5577
01/05/2013,27.9646,5.1177,1.8934,16.6611
02/05/2013,28.0338,5.1188,1.8934,16.6698
03/05/2013,27.2318,5.1022,1.8927,16.3768
06/05/2013,27.0523,5.0982,1.8927,16.2993
07/05/2013,26.9558,5.0971,1.8924,16.2649
08/05/2013,27.1144,5.0989,1.8924,16.3294
09/05/2013,26.9972,5.0975,1.8924,16.2993
10/05/2013,26.4804,5.0827,1.8919,16.0928
13/05/2013,26.329,5.0812,1.8917,16.0413
14/05/2013,26.1296,5.0769,1.8917,15.9639
15/05/2013,26.1571,5.0791,1.8919,15.9811
16/05/2013,26.5837,5.0913,1.8924,16.153
17/05/2013,26.1227,5.0798,1.8915,15.951
20/05/2013,26.0678,5.0787,1.8917,15.921
